County Name, Station
Aitkin County,KAIT0
Aitkin County,KHZX0
Aitkin County,KMZH0
Aitkin County,KCOQ0
Anoka County,9NRIJ
Anoka County,KCBG0
Anoka County,KPNM0
Becker County,KDTL0
Becker County,KPKD0
Becker County,KADC0
Becker County,KFFM0
Becker County,KJKJ0
Beltrami County,X9FED
Beltrami County,72755
Beltrami County,KFSE0
Beltrami County,KFOZ0
Beltrami County,KY490
Benton County,72655
Benton County,KPNM0
Benton County,KLXL0
Benton County,KJMR0
Big Stone County,KVVV0
Big Stone County,KETH0
Big Stone County,KMOX0
Big Stone County,KAQP0
Big Stone County,KDXX0
Blue Earth County,KMKT0
Blue Earth County,KULM0
Blue Earth County,KACQ0
Brown County,KULM0
Brown County,Z7ZOG
Brown County,KJYG0
Brown County,KMKT0
Carlton County,KCOQ0
Carlton County,KMZH0
Carlton County,KHZX0
Carlton County,KDYT0
Carver County,KFCM0
Carver County,KGYL0
Carver County,KMKT0
Carver County,KLVN0
Cass County,KY490
Cass County,KXVG0
Cass County,KPWC0
Cass County,KSAZ0
Chippewa County,KMVE0
Chippewa County,KBDH0
Chippewa County,KGDB0
Chippewa County,KDXX0
Chippewa County,KAQP0
Chisago County,KROS0
Chisago County,KCBG0
Chisago County,9NRIJ
Clay County,KJKJ0
Clay County,KDTL0
Clay County,KFFM0
Clay County,KFSE0
Clearwater County,KFSE0
Clearwater County,72755
Clearwater County,KY490
Clearwater County,KDTL0
Clearwater County,UYB6K
Clearwater County,X9FED
Cook County,KGNA0
Cook County,KCKC0
Cook County,KELO0
Cook County,KBFW0
Cottonwood County,KMWM0
Cottonwood County,KJYG0
Cottonwood County,KFRM0
Cottonwood County,KMJQ0
Cottonwood County,KOTG0
Cottonwood County,KTKC0
Crow Wing County,KBRD0
Crow Wing County,KAIT0
Crow Wing County,KPWC0
Dakota County,KSYN0
Dakota County,KLVN0
Dodge County,KTOB0
Dodge County,72644
Dodge County,KAUM0
Dodge County,KOWA0
Dodge County,KSYN0
Douglas County,KAXN0
Douglas County,KGHW0
Douglas County,KD390
Douglas County,KY630
Douglas County,KADC0
Faribault County,KFRM0
Faribault County,KAEL0
Faribault County,KJYG0
Faribault County,KMKT0
Faribault County,KACQ0
