,County Name,Station
0,Saint Louis County,72745
1,Saint Louis County,KDYT0
2,Scott County,KFCM0
3,Sherburne County,KPNM0
4,Sherburne County,KCFE0
5,Sherburne County,KMGG0
6,Sherburne County,9NRIJ
7,Sherburne County,KCBG0
8,Sherburne County,72655
9,Sibley County,KGYL0
10,Sibley County,KULM0
11,Stearns County,72655
12,Steele County,KOWA0
13,Stevens County,KMOX0
14,Swift County,KBBB0
15,Todd County,KRYM0
16,Todd County,KLXL0
17,Todd County,KD390
18,Todd County,KAXN0
19,Traverse County,KETH0
20,Wabasha County,KONA0
21,Wabasha County,KRGK0
22,Wadena County,KPKD0
23,Wadena County,KPWC0
24,Wadena County,KADC0
25,Wadena County,KSAZ0
26,Waseca County,KACQ0
27,Washington County,KSTP0
28,Watonwan County,KJYG0
29,Wilkin County,KFFM0
30,Winona County,KONA0
31,Wright County,KMGG0
32,Yellow Medicine County,KGDB0
33,Marshall County,KCKN0
34,Marshall County,UYB6K
35,Martin County,KFRM0
36,Martin County,KMJQ0
37,Martin County,KJYG0
38,Martin County,KAEL0
39,Meeker County,KLJF0
40,Mille Lacs County,KPNM0
41,Mille Lacs County,KCBG0
42,Mille Lacs County,KJMR0
43,Mille Lacs County,72655
44,Mille Lacs County,KLXL0
45,Morrison County,KLXL0
46,Morrison County,KRYM0
47,Morrison County,KBRD0
48,Morrison County,KD390
49,Mower County,KAUM0
50,Mower County,KAEL0
51,Mower County,72644
52,Murray County,KTKC0
53,Murray County,KPQN0
54,Nicollet County,KMKT0
55,Nicollet County,KULM0
56,Nicollet County,KFBL0
57,Nobles County,KOTG0
58,Nobles County,KLYV0
59,Nobles County,KMJQ0
60,Norman County,KJKJ0
61,Norman County,KCKN0
62,Olmsted County,72644
63,Olmsted County,KTOB0
64,Olmsted County,KONA0
65,Otter Tail County,KFFM0
66,Otter Tail County,KY630
67,Otter Tail County,KDTL0
68,Pennington County,UYB6K
69,Pennington County,KCKN0
70,Pennington County,KFSE0
71,Pennington County,KHCO0
72,Pennington County,P6529
73,Pine County,KROS0
74,Pine County,KJMR0
75,Pipestone County,KPQN0
76,Pipestone County,KLYV0
77,Pipestone County,KTKC0
78,Polk County,KCKN0
79,Polk County,UYB6K
80,Pope County,KFSE0
81,Pope County,KAXN0
82,Pope County,KD390
83,Pope County,KBBB0
84,Ramsey County,KSTP0
85,Ramsey County,72658
86,Ramsey County,KSGS0
87,Red Lake County,KCKN0
88,Red Lake County,UYB6K
89,Redwood County,Z7ZOG
90,Redwood County,KOVL0
91,Redwood County,KGDB0
92,Redwood County,KMML0
93,Redwood County,KTKC0
94,Redwood County,KULM0
95,Renville County,KOVL0
96,Renville County,KBDH0
97,Renville County,KGDB0
98,Renville County,Z7ZOG
99,Renville County,KHCD0
100,Rice County,KFRM0
101,Rice County,KAEL0
102,Rice County,KJYG0
103,Rice County,KACQ0
104,Rock County,KLYV0
105,Rock County,KPQN0
106,Rock County,KOTG0
107,Roseau County,P6529
108,Roseau County,KHCO0
109,Roseau County,KRRT0
110,Roseau County,X9FED
111,Aitkin County,KAIT0
112,Aitkin County,KHZX0
113,Anoka County,9NRIJ
114,Becker County,KDTL0
115,Becker County,KPKD0
116,Beltrami County,X9FED
117,Beltrami County,72755
118,Benton County,72655
119,Big Stone County,KVVV0
120,Blue Earth County,KMKT0
121,Brown County,KULM0
122,Carlton County,KCOQ0
123,Carlton County,KMZH0
124,Carver County,KFCM0
125,Carver County,KGYL0
126,Cass County,KY490
127,Cass County,KXVG0
128,Cass County,KPWC0
129,Cass County,KSAZ0
130,Chippewa County,KMVE0
131,Chippewa County,KBDH0
132,Chisago County,KROS0
133,Clay County,KJKJ0
134,Clay County,KDTL0
135,Clearwater County,KFSE0
136,Clearwater County,72755
137,Cook County,KGNA0
138,Cook County,KCKC0
139,Cottonwood County,KMWM0
140,Crow Wing County,KBRD0
141,Crow Wing County,KAIT0
142,Crow Wing County,KPWC0
143,Dakota County,KSYN0
144,Dakota County,KLVN0
145,Dodge County,KTOB0
146,Douglas County,KAXN0
147,Faribault County,KFRM0
148,Faribault County,KAEL0
149,Fillmore County,KFKA0
150,Freeborn County,KAEL0
151,Goodhue County,KSYN0
152,Grant County,KY630
153,Hennepin County,KMIC0
154,Hennepin County,KFCM0
155,Houston County,KONA0
156,Houston County,KFKA0
157,Hubbard County,KPKD0
158,Isanti County,KCBG0
159,Itasca County,KGPZ0
160,Jackson County,KMJQ0
161,Kanabec County,KJMR0
162,Kandiyohi County,KBDH0
163,Kittson County,KHCO0
164,Koochiching County,72747
165,Lac qui Parle County,KDXX0
166,Lake County,KTWM0
167,Lake County,KBFW0
168,Lake of the Woods County,KFGN0
169,Lake of the Woods County,KBDE0
170,Le Sueur County,KMKT0
171,Le Sueur County,KFBL0
172,Lincoln County,KCNB0
173,Lincoln County,KMML0
174,Lincoln County,KPQN0
175,Lyon County,KMML0
176,McLeod County,KGYL0
177,McLeod County,KHCD0
178,Mahnomen County,KFSE0
179,Mahnomen County,KDTL0
