iter	Passed	Remaining
402	14761	21867
403	14796	21829
404	14831	21789
405	14865	21748
406	14901	21712
407	14937	21674
408	14971	21634
409	15006	21595
410	15040	21554
411	15075	21514
412	15110	21476
413	15144	21436
414	15178	21396
415	15212	21355
416	15247	21317
417	15281	21276
418	15316	21238
419	15351	21199
420	15384	21158
421	15418	21118
422	15453	21079
423	15488	21040
424	15523	21002
425	15558	20963
426	15593	20925
427	15627	20885
428	15664	20850
429	15700	20811
430	15737	20775
431	15771	20736
432	15806	20698
433	15840	20658
434	15875	20619
435	15911	20582
436	15948	20546
437	15982	20506
438	16018	20470
439	16053	20431
440	16087	20392
441	16122	20353
442	16158	20316
443	16193	20277
444	16227	20238
445	16261	20198
446	16294	20158
447	16328	20119
448	16364	20082
449	16400	20045
450	16437	20009
451	16475	19974
452	16511	19937
453	16546	19899
454	16580	19860
455	16618	19824
456	16655	19790
457	16692	19753
458	16726	19715
459	16764	19679
460	16801	19644
461	16836	19606
462	16871	19568
463	16908	19532
464	16945	19497
465	16981	19459
466	17019	19424
467	17057	19389
468	17091	19351
469	17126	19312
470	17160	19274
471	17195	19235
472	17230	19197
473	17269	19164
474	17308	19130
475	17347	19096
476	17384	19060
477	17419	19022
478	17455	18986
479	17490	18947
480	17524	18909
481	17559	18870
482	17594	18832
483	17628	18793
484	17663	18755
485	17702	18722
486	17738	18685
487	17775	18649
488	17810	18611
489	17843	18572
490	17877	18533
491	17912	18494
492	17949	18458
493	17985	18421
494	18023	18387
495	18061	18352
496	18099	18318
497	18141	18287
498	18182	18255
499	18220	18220
500	18258	18185
501	18295	18149
502	18331	18112
503	18372	18080
504	18410	18046
505	18447	18009
506	18485	17975
507	18522	17939
508	18560	17903
509	18599	17870
510	18640	17837
511	18678	17802
512	18717	17769
513	18757	17735
514	18792	17697
515	18829	17661
516	18868	17627
517	18907	17593
518	18947	17560
519	18985	17524
520	19023	17489
521	19061	17454
522	19097	17417
523	19135	17382
524	19174	17348
525	19213	17314
526	19250	17277
527	19290	17244
528	19328	17209
529	19363	17171
530	19400	17134
531	19437	17099
532	19479	17067
533	19518	17032
534	19557	16998
