iter	RMSE
245	6.769183723
246	6.763797268
247	6.737689627
248	6.710604155
249	6.694672023
250	6.690291413
251	6.662669607
252	6.657809821
253	6.652348615
254	6.631139753
255	6.626529047
256	6.610341256
257	6.606303691
258	6.595470827
259	6.591596261
260	6.57153702
261	6.55685298
262	6.53421599
263	6.520551077
264	6.517201878
265	6.512942141
266	6.498051731
267	6.482338969
268	6.474623654
269	6.458258146
270	6.44585658
271	6.429601008
272	6.412758443
273	6.400162424
274	6.383575452
275	6.369189936
276	6.365646259
277	6.361810656
278	6.35824538
279	6.340000378
280	6.321783024
281	6.298681036
282	6.280822295
283	6.27217703
284	6.266632154
285	6.25711764
286	6.242062711
287	6.228780741
288	6.225544725
289	6.22240763
290	6.210371735
291	6.190816627
292	6.187347196
293	6.184621163
294	6.169346989
295	6.14894411
296	6.135765844
297	6.117949093
298	6.11244797
299	6.103001541
300	6.100688809
301	6.088502374
302	6.068527494
303	6.055777662
304	6.052704497
305	6.044158018
306	6.030987456
307	6.012432293
308	5.999244365
309	5.980206791
310	5.968882869
311	5.953668239
312	5.940054406
313	5.935326789
314	5.928152322
315	5.910575783
316	5.897194428
317	5.887921942
318	5.885132076
319	5.87704171
320	5.865196091
321	5.848044137
322	5.844073565
323	5.829191185
324	5.812694704
325	5.810414846
326	5.799712815
327	5.791220714
328	5.775025828
329	5.758859824
330	5.755258029
331	5.752301611
332	5.735907097
333	5.727367252
334	5.709141957
335	5.695044704
336	5.682017617
337	5.676832435
338	5.661392115
339	5.657744632
340	5.649371749
341	5.632050668
342	5.629264213
343	5.614818284
344	5.611602913
345	5.596822828
346	5.578520139
347	5.570159805
348	5.554105046
349	5.540312374
350	5.535318791
351	5.527846226
352	5.520592255
353	5.506003683
354	5.503892433
355	5.487496146
356	5.484864604
357	5.467601826
358	5.460450694
359	5.451040076
360	5.437219634
361	5.423270386
362	5.406622324
363	5.405088414
364	5.394685261
365	5.39252277
366	5.389870226
367	5.382069155
368	5.380760081
369	5.369043083
370	5.367039447
371	5.358252878
372	5.341893116
373	5.337039644
374	5.327191604
375	5.31962128
376	5.307852743
377	5.305600364
378	5.301032997
379	5.290162882
380	5.288421618
381	5.279829888
382	5.267819827
383	5.264292047
384	5.255555444
385	5.253309974
386	5.245052221
387	5.233904102
388	5.222021013
389	5.221176201
390	5.211735347
391	5.202460333
392	5.18959532
393	5.176242141
394	5.163344158
395	5.160407973
396	5.153949771
397	5.141320786
398	5.13247215
399	5.121793577
400	5.108789105
401	5.095454482
402	5.09301307
403	5.082085399
404	5.080454617
405	5.076970374
406	5.070840543
407	5.06245305
408	5.060778472
409	5.059862883
410	5.051248831
411	5.049845895
412	5.045901556
413	5.043302086
414	5.034121449
415	5.033048077
416	5.020104901
417	5.018338333
418	5.017128038
419	5.004783911
420	5.002607627
421	4.997529592
422	4.988092949
423	4.977720851
424	4.976012051
425	4.967995872
426	4.958161826
427	4.948564673
428	4.938144654
429	4.931211909
430	4.921764492
431	4.915700921
432	4.905349559
433	4.904516048
434	4.893933118
435	4.890659695
436	4.884100532
437	4.875915932
438	4.865567777
439	4.861892815
440	4.855392022
441	4.842802767
442	4.835722386
443	4.829127654
444	4.823044444
445	4.818275623
446	4.816495155
447	4.810813584
448	4.80974298
449	4.801607641
450	4.791993248
451	4.786120752
452	4.784966081
453	4.77830107
454	4.770185041
455	4.765876752
456	4.757372417
457	4.750763631
458	4.742642773
459	4.73536844
460	4.727183046
461	4.715992823
462	4.709249978
463	4.707703227
464	4.697236188
465	4.694568861
466	4.693216594
467	4.684027743
468	4.676439896
469	4.667280349
470	4.658841789
471	4.654576567
472	4.653169964
473	4.648598577
474	4.640089905
475	4.62835241
476	4.627078916
477	4.621574432
478	4.613805197
479	4.606989263
480	4.59769834
481	4.589487964
482	4.584089967
483	4.579476219
484	4.578262005
485	4.577649485
486	4.574836967
487	4.57374955
488	4.57269372
489	4.571404783
490	4.569934741
491	4.564393257
492	4.562953439
493	4.562234502
494	4.557425486
495	4.551417678
496	4.54237675
497	4.535871291
498	4.525098806
499	4.518576353
500	4.51375256
501	4.50916989
502	4.5083355
503	4.501703005
504	4.500829291
505	4.498977937
506	4.494340765
507	4.491791521
508	4.485613035
509	4.484213763
510	4.477141784
511	4.476066782
512	4.471558106
513	4.47074503
514	4.466133864
515	4.460054292
516	4.459537982
517	4.45092915
518	4.444182948
519	4.438952359
520	4.432595588
521	4.427995076
522	4.423532596
523	4.417681771
524	4.409358599
525	4.403878937
526	4.40295802
527	4.396318516
528	4.394083034
529	4.393106326
530	4.392269065
531	4.385530819
532	4.379440035
533	4.375595007
534	4.374972938
535	4.367022721
536	4.359917439
537	4.355227531
538	4.351233251
539	4.346895646
540	4.339069458
541	4.333370584
542	4.332816732
543	4.328123187
544	4.322114948
545	4.31649037
546	4.311810336
547	4.309511108
548	4.303035975
549	4.30176236
550	4.294138818
551	4.290811159
552	4.287606623
553	4.284507492
554	4.275581992
555	4.274245733
556	4.269677154
557	4.265264998
558	4.260135769
559	4.255428791
560	4.247707101
561	4.247222404
562	4.243274744
563	4.239432024
564	4.238122847
565	4.2351458
566	4.23134891
567	4.230689273
568	4.230085507
569	4.228697755
570	4.224016323
571	4.222974373
572	4.221725384
573	4.220175382
574	4.212600905
575	4.210933863
576	4.20461819
577	4.199453493
578	4.194526167
579	4.188936621
580	4.188351875
581	4.183962432
582	4.183662822
583	4.180423172
584	4.179831801
585	4.176452328
586	4.17574982
587	4.17502966
588	4.173021162
589	4.172548787
590	4.172078988
591	4.167159974
592	4.163060594
593	4.162676526
594	4.157930761
595	4.151798489
596	4.149381081
597	4.14334253
598	4.137570441
599	4.134599919
600	4.133416645
601	4.128786562
602	4.126705019
603	4.126320488
604	4.12260985
605	4.118509652
606	4.117898723
607	4.114236685
608	4.1094627
609	4.104167808
610	4.101132302
611	4.099060298
612	4.094663996
613	4.089970292
614	4.089147212
615	4.087593362
616	4.081526627
617	4.075990509
618	4.06895269
619	4.067016965
620	4.066339143
621	4.06234303
622	4.060000457
623	4.055294118
624	4.054463899
625	4.050384052
626	4.046135118
627	4.041582063
628	4.040530289
629	4.035650135
630	4.034618074
631	4.032043749
632	4.030986305
633	4.026824549
634	4.022612034
635	4.018325208
636	4.014029352
637	4.009921638
638	4.005673888
639	4.001110119
640	3.9987638
641	3.998005536
642	3.995237756
643	3.994609879
644	3.990760401
645	3.985009084
646	3.982403025
647	3.977654429
648	3.976457329
649	3.971975242
650	3.969278397
651	3.966489247
652	3.963244283
653	3.961194188
654	3.959606504
655	3.955440987
656	3.954862226
657	3.951182796
658	3.949125392
659	3.94468549
660	3.942907502
661	3.938738741
662	3.936926378
663	3.933161973
664	3.930902776
665	3.927831562
666	3.922824325
667	3.921265569
668	3.919796957
669	3.916848357
670	3.912471302
671	3.908263952
672	3.905357633
673	3.902939252
674	3.899522859
675	3.899255112
676	3.897817812
677	3.894823811
678	3.891001845
679	3.886606129
680	3.88590803
681	3.882672667
682	3.880071488
683	3.875543012
684	3.871382737
685	3.868668287
686	3.864029478
687	3.860290944
688	3.857780771
689	3.854380358
690	3.851687095
691	3.850557093
692	3.848807032
693	3.845084284
694	3.842705962
695	3.840095443
696	3.83956284
697	3.839056546
698	3.836039228
699	3.835272095
700	3.832346609
701	3.831888703
702	3.829896709
703	3.826211784
704	3.823760937
705	3.82227624
706	3.818909141
707	3.817137818
708	3.814441583
709	3.810226613
710	3.808310156
711	3.805181273
712	3.803076208
713	3.799665534
714	3.798367449
715	3.794676664
716	3.792935548
717	3.790030167
718	3.789607073
719	3.789386096
720	3.788219989
721	3.786211135
722	3.783946245
723	3.780397813
724	3.777112224
725	3.775698203
726	3.775139543
727	3.77486134
728	3.772099529
729	3.768487323
730	3.766016291
731	3.762686033
732	3.758837935
733	3.757424489
734	3.755363318
735	3.753560916
736	3.751667056
737	3.75013064
738	3.747614153
739	3.745320703
740	3.74250145
741	3.739940076
742	3.737988408
743	3.735414139
744	3.735180827
745	3.733647871
746	3.73224787
747	3.730608253
748	3.727739152
749	3.725522637
750	3.723191476
751	3.720605041
752	3.719142096
753	3.715781898
754	3.715545593
755	3.713138212
756	3.710697256
757	3.710262883
758	3.708023993
759	3.704666509
760	3.70427484
761	3.701803029
762	3.700271894
763	3.697976729
764	3.695909243
765	3.695473761
766	3.695028256
767	3.692594203
768	3.690600728
769	3.690327459
770	3.686648088
771	3.685127932
772	3.684976096
773	3.683720564
774	3.683336749
775	3.681324261
776	3.679912767
777	3.677434329
778	3.675190722
779	3.672406148
780	3.671799357
781	3.669813875
782	3.66882364
783	3.667677958
784	3.665487734
785	3.664077299
786	3.662570146
787	3.6622627
788	3.661164484
789	3.658782235
790	3.657259306
791	3.654489416
792	3.653033981
793	3.651726939
794	3.649702261
795	3.648024015
796	3.645143676
797	3.644792222
798	3.642399748
799	3.640825956
800	3.640510763
801	3.638667591
802	3.638276067
803	3.637381188
804	3.634612353
805	3.632687068
806	3.629814031
807	3.628013281
808	3.627065671
809	3.626195551
810	3.624300673
811	3.623507219
812	3.622168258
813	3.621942236
814	3.619512365
815	3.61792341
816	3.61628546
817	3.613672631
818	3.612215464
819	3.611045465
820	3.608533949
821	3.60821101
822	3.607192916
823	3.606050843
824	3.604720051
825	3.602402342
826	3.602024768
827	3.60115692
828	3.59926481
829	3.5975967
830	3.596254114
831	3.595235268
832	3.593057166
833	3.591603714
834	3.589992336
835	3.587261351
836	3.585791333
837	3.58416442
838	3.582224023
839	3.579912193
840	3.57853153
841	3.576649864
842	3.575057984
843	3.573470946
844	3.57222825
845	3.571427398
846	3.570199688
847	3.569844924
848	3.569715908
849	3.568013702
850	3.567053269
851	3.566490579
852	3.564982623
853	3.564820406
854	3.563207119
855	3.561869915
856	3.561541623
857	3.560340008
858	3.559018046
859	3.558703852
860	3.556566975
861	3.554838453
862	3.554423477
863	3.55415562
864	3.552778074
865	3.550689484
866	3.549054018
867	3.548804519
868	3.547556875
869	3.547437325
870	3.546548823
871	3.544922823
872	3.543975511
873	3.542632816
874	3.541794624
875	3.540551374
876	3.540206017
877	3.538635859
878	3.538335102
879	3.536280942
880	3.535863379
881	3.5344482
882	3.534051953
883	3.533594009
884	3.531843445
885	3.531697853
886	3.530046181
887	3.528426543
888	3.526930895
889	3.526805461
890	3.525126157
891	3.523792734
892	3.522004266
893	3.52106771
894	3.520725613
895	3.519524385
896	3.518384905
897	3.518036983
898	3.516644657
899	3.515000839
900	3.513195579
901	3.512123158
902	3.511814694
903	3.510976077
904	3.509386049
905	3.509074906
906	3.508953029
907	3.507731372
908	3.50701112
909	3.506888334
910	3.506607513
911	3.50496172
912	3.503706548
913	3.503632089
914	3.50352331
915	3.502014006
916	3.501186532
917	3.500330752
918	3.499060515
919	3.498854684
920	3.497054729
921	3.49542822
922	3.494824765
923	3.493888099
924	3.492780699
925	3.492546005
926	3.491430943
927	3.490671626
928	3.490497083
929	3.490403128
930	3.489290168
931	3.489056591
932	3.488551319
933	3.48712435
934	3.485832284
935	3.484778595
936	3.483411302
937	3.481906416
938	3.48111344
939	3.48039046
940	3.479195243
941	3.478742071
942	3.477020326
943	3.476125404
944	3.475243708
945	3.474055185
946	3.473654714
947	3.472006533
948	3.470958807
949	3.470270373
950	3.469245058
951	3.468371043
952	3.467242631
953	3.467103186
954	3.466269731
955	3.46546543
956	3.46529804
957	3.465037789
958	3.46447524
959	3.463734546
960	3.463508063
961	3.462402902
962	3.461511274
963	3.461069026
964	3.460966006
965	3.460178384
966	3.45992135
967	3.459764747
968	3.458350009
969	3.458107694
970	3.457979116
971	3.457100868
972	3.456192112
973	3.454890916
974	3.453896328
975	3.452459617
976	3.451762908
977	3.450649587
978	3.450526472
979	3.450389158
980	3.449319015
981	3.447919588
982	3.447614344
983	3.446889696
984	3.446247741
985	3.445490563
986	3.444747592
987	3.443749174
988	3.442892268
989	3.441992298
990	3.441711769
991	3.440742356
992	3.440135725
993	3.439123316
994	3.438297865
995	3.43795724
996	3.43778272
997	3.437671668
998	3.436322949
999	3.435891923
